code,division,division_name,level,title,includes,may_include,alternate_terms,see,see_also,notes,discussion,parent_code,related_codes,chunk_text
33 05 05.33,33,UTILITIES,4,Infiltration and Exfiltration Testing,,,,,,,,33 05 05,[],33 05 05.33 — Infiltration and Exfiltration Testing
33 05 05.36,33,UTILITIES,4,Vacuum Testing,,,,,,,,33 05 05,[],33 05 05.36 — Vacuum Testing
33 05 05.41,33,UTILITIES,4,Air Testing,,,,,,,,33 05 05,[],33 05 05.41 — Air Testing
33 05 05.43,33,UTILITIES,4,Mandrel Testing,,,,,,,,33 05 05,[],33 05 05.43 — Mandrel Testing
33 05 05.46,33,UTILITIES,4,Lamp Testing,,,,,,,,33 05 05,[],33 05 05.46 — Lamp Testing
33 05 07,33,UTILITIES,3,Trenchless Installation of Utility Piping,,,,,,,,33 05 00,[],33 05 07 — Trenchless Installation of Utility Piping
33 05 07.13,33,UTILITIES,4,Utility Directional Drilling,,,,,,,,33 05 07,[],33 05 07.13 — Utility Directional Drilling
33 05 07.23,33,UTILITIES,4,Utility Boring and Jacking,,,,,,,,33 05 07,[],33 05 07.23 — Utility Boring and Jacking
33 05 07.24,33,UTILITIES,4,Casing Piping for Utility Jacking,,,,,,,,33 05 07,[],33 05 07.24 — Casing Piping for Utility Jacking
33 05 07.33,33,UTILITIES,4,Tunnelling,,,,,,,,33 05 07,[],33 05 07.33 — Tunnelling
33 05 07.36,33,UTILITIES,4,Microtunnelling,,,,,,,,33 05 07,[],33 05 07.36 — Microtunnelling
33 05 07.43,33,UTILITIES,4,Utility Impact Moling,,,,,,,,33 05 07,[],33 05 07.43 — Utility Impact Moling
33 05 07.53,33,UTILITIES,4,Cable Trenching and Plowing,,,,,,,,33 05 07,[],33 05 07.53 — Cable Trenching and Plowing
33 05 09,33,UTILITIES,3,Piping Specials for Utilities,,,,,,,,33 05 00,[],33 05 09 — Piping Specials for Utilities
33 05 09.13,33,UTILITIES,4,Couplings for Utility Piping,,,,,,,,33 05 09,[],33 05 09.13 — Couplings for Utility Piping
33 05 09.23,33,UTILITIES,4,Adapters for Utility Piping,,,,,,,,33 05 09,[],33 05 09.23 — Adapters for Utility Piping
33 05 09.33,33,UTILITIES,4,Thrust Restraint for Utility Piping,,,,,,,,33 05 09,[],33 05 09.33 — Thrust Restraint for Utility Piping
33 05 09.43,33,UTILITIES,4,Tapping Sleeves and Saddles for Utility Piping,,,,,,,,33 05 09,[],33 05 09.43 — Tapping Sleeves and Saddles for Utility Piping
33 05 11,33,UTILITIES,3,Aluminum Utility Pipe,,,,,,,,33 05 00,[],33 05 11 — Aluminum Utility Pipe
33 05 12,33,UTILITIES,3,Brass Utility Pipe,,,,,,,,33 05 00,[],33 05 12 — Brass Utility Pipe
33 05 16,33,UTILITIES,3,Cast-Iron Utility Pipe,,,,,,,,33 05 00,[],33 05 16 — Cast-Iron Utility Pipe
33 05 17,33,UTILITIES,3,Copper Utility Pipe and Tubing,,,,,,,,33 05 00,[],33 05 17 — Copper Utility Pipe and Tubing
33 05 19,33,UTILITIES,3,Ductile-Iron Utility Pipe,,,,,,,,33 05 00,[],33 05 19 — Ductile-Iron Utility Pipe
33 05 21,33,UTILITIES,3,High-Alloy Nickel Utility Pipe and Tubing,,,,,,,,33 05 00,[],33 05 21 — High-Alloy Nickel Utility Pipe and Tubing
33 05 23,33,UTILITIES,3,Stainless Steel Utility Pipe and Tubing,,,,,,,,33 05 00,[],33 05 23 — Stainless Steel Utility Pipe and Tubing
33 05 23.13,33,UTILITIES,4,Duplex and Super-Duplex Stainless Steel Utility Pipe,,,,,,,,33 05 23,[],33 05 23.13 — Duplex and Super-Duplex Stainless Steel Utility Pipe
33 05 23.23,33,UTILITIES,4,300- and 400-Series Stainless Steel Utility Pipe,,,,,,,,33 05 23,[],33 05 23.23 — 300- and 400-Series Stainless Steel Utility Pipe
33 05 23.33,33,UTILITIES,4,Special-Fabrication Stainless Steel Utility Pipe and Tubing,,,,,,,,33 05 23,[],33 05 23.33 — Special-Fabrication Stainless Steel Utility Pipe and Tubing
33 05 24,33,UTILITIES,3,Steel Utility Pipe,,,,,,,,33 05 00,[],33 05 24 — Steel Utility Pipe
33 05 24.13,33,UTILITIES,4,Steel Pipe and Tubing for Air and Gas Service,,,,,,,,33 05 24,[],33 05 24.13 — Steel Pipe and Tubing for Air and Gas Service
33 05 24.23,33,UTILITIES,4,Steel Pipe for Water Service,,,,,,,,33 05 24,[],33 05 24.23 — Steel Pipe for Water Service
33 05 24.26,33,UTILITIES,4,Steel Pipe and Tubing for Utility Liquid Service,,,,,,,,33 05 24,[],33 05 24.26 — Steel Pipe and Tubing for Utility Liquid Service
33 05 24.33,33,UTILITIES,4,Steel Pipe for Bulk Materials Conveyance,,,,,,,,33 05 24,[],33 05 24.33 — Steel Pipe for Bulk Materials Conveyance
33 05 27,33,UTILITIES,3,Corrugated Metal Utility Pipe,,,,,,,,33 05 00,[],33 05 27 — Corrugated Metal Utility Pipe
33 05 27.13,33,UTILITIES,4,Corrugated Metal Culvert Pipe,,,,,,,,33 05 27,[],33 05 27.13 — Corrugated Metal Culvert Pipe
33 05 27.23,33,UTILITIES,4,Corrugated Metal Slotted Pipe,,,,,,,,33 05 27,[],33 05 27.23 — Corrugated Metal Slotted Pipe
33 05 27.33,33,UTILITIES,4,Corrugated Metal Culvert Arch Pipe,,,,,,,,33 05 27,[],33 05 27.33 — Corrugated Metal Culvert Arch Pipe
33 05 31,33,UTILITIES,3,Thermoplastic Utility Pipe,,,,,,,,33 05 00,[],33 05 31 — Thermoplastic Utility Pipe
33 05 31.11,33,UTILITIES,4,Polyvinyl Chloride Gravity Sewer Pipe,,,,,,,,33 05 31,[],33 05 31.11 — Polyvinyl Chloride Gravity Sewer Pipe
33 05 31.13,33,UTILITIES,4,Polyvinyl Chloride Pressure Pipe,,,,,,,,33 05 31,[],33 05 31.13 — Polyvinyl Chloride Pressure Pipe
33 05 31.16,33,UTILITIES,4,Polyvinyl Chloride Pressure Pipe for Water Transmission and Distribution (AWWA C900 and AWWA C905),,,,,,,,33 05 31,[],33 05 31.16 — Polyvinyl Chloride Pressure Pipe for Water Transmission and Distribution (AWWA C900 and AWWA C905)
33 05 31.19,33,UTILITIES,4,Fusible Polyvinyl Chloride Pipe,,,,,,,,33 05 31,[],33 05 31.19 — Fusible Polyvinyl Chloride Pipe
